名称,作者,出版社,出版日期,售价
鹿川有许多粪,李沧东 , 武汉大学出版社 , 2021-8 , 58.00元
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 四川文艺出版社 , 2015-12 , 35.00元
三体全集,刘慈欣 ,刘慈欣 , 读客文化 , 2018-11-26
活着,余华 , 北京十月文艺出版社 , 2017-6-1 , 35.00元
杀死一只知更鸟,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元
沙丘,[美] 弗兰克·赫伯特 , 江苏凤凰文艺出版社 , 2017-2-1 , 68.00元
周四推理俱乐部：活了两次的男人,[英] 理查德·奥斯曼 , 接力出版社 , 2022-12 , 58.00元
酒吧长谈,[秘鲁] 马里奥·巴尔加斯·略萨 , 人民文学出版社 , 2021-3 , 128.00元
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2013-6 , 25.00元
在暴雪时分,墨宝非宝 , 江苏凤凰文艺出版社 , 2020-5 , 48.00元
宋慈洗冤笔记,巫童 , 四川文艺出版社 , 2023-10-1 , 58.00
分成两半的子爵,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4-1 , 20.00元
显微镜下的大明,马伯庸 , 湖南文艺出版社 , 2019-1 , 52.00元
飞翔的孔雀,[日] 山尾悠子 , 新星出版社 , 2023-12 , 56.00元
黄金时代 : 时代三部曲,王小波 , 花城出版社 , 1999-3 , 19.00元
金瓶梅,兰陵笑笑生 ,兰陵笑笑生 , 南洋出版社 , 2016-1
文城,余华 , 北京十月文艺出版社 , 2021-3 , 59.00元
素食者,[韩] 韩江 , 四川文艺出版社 , 2021-9 , 48
她厌男，她是我女友,[韩] 闵智炯 , 中国友谊出版公司 , 2023-5-25 , 48.00元
蝲蛄吟唱的地方,[美] 迪莉娅·欧文斯 , 湖南文艺出版社 , 2019-10 , 58.00元
焦虑的人,弗雷德里克·巴克曼 , 天津人民出版社 , 2021-8 , 49.8
飘,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元
魔术师,[爱尔兰] 科尔姆·托宾 , 上海译文出版社 , 2023-4 , 89.00元
人世间（套装共三册）,梁晓声 , 中国青年出版社 , 2018-1 , 238.00元
仙症,郑执 , 北京日报出版社 , 2020-10 , 58.00元
出生意愿确认,李琴峰 , 广西师范大学出版社 , 2024-1 , 49.00元
晚春情话,韩松落 , 人民文学出版社 , 2024-2-14 , 68
海漄怪奇故事集,海漄 , 新星出版社 , 2024-1 , 56.00元
棋王·树王·孩子王 : 阿城文集 之一,阿城 , 江苏凤凰文艺出版社 , 2016-3-1 , 58.00
当我们不再理解世界,[智利]本哈明·拉巴图特 , 人民文学出版社 , 2022-9-1 , 59.00元
夜奔,苏生 , 广东人民出版社 , 2024-3 , 188
没有人给他写信的上校,[哥伦比亚]加西亚·马尔克斯 , 南海出版公司 , 2018-6 , 35.00元
平原上的摩西,双雪涛 , 北京日报出版社 , 2021-4 , 59
最小的海,叶昕昀 , 新星出版社 , 2023-9 , 49.00元
金锁记,张爱玲 , 哈尔滨出版社 , 2005-6 , 13.5元
未来学大会,[波] 斯坦尼斯瓦夫·莱姆 , 译林出版社 , 2021-8 , 42.00元
百年孤独 : 50周年纪念版,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2017-8 , 55.00元
时空旅行者的沙漏,[日] 方丈贵惠 , 新星出版社 , 2021-5 , 48.00
基督山伯爵,[法]大仲马 , 译林出版社 , 2018-10 , 138
一地鸡毛,刘震云 , 长江文艺出版社 , 2011-9-1 , 29.00元
包法利夫人,福楼拜 , 人民文学出版社 , 2003-1-1 , CNY 28.00
七叶树,东坡柚 , 江苏凤凰文艺出版社、江苏文艺出版社 , 2024-3 , 58.00元
失明症漫记,[葡] 若泽·萨拉马戈 , 南海出版公司 , 2014-2 , 29.50元
一生悬命,陆春吾 , 江苏凤凰文艺出版社 , 2023-12-15 , 49.90
蛤蟆先生去看心理医生,[英] 罗伯特·戴博德 , 天津人民出版社 , 2020-8-1 , 38.00元
平乐县志,颜歌 , 上海三联书店 , 2023-10 , 78
笑傲江湖（全四册）,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元
棋王,阿城 , 上海三联书店 , 2019-4 , 48.00元
坦白,[意] 多梅尼科·斯塔尔诺内 , 上海译文出版社 , 2024-1 , 58
寒夜无声,吴忠全 , 湖南文艺出版社 , 2023-11 , 52.00元
失去的过去与未来的犯罪,[日] 小林泰三 , 湖南文艺出版社 , 2024-3 , 49.80
河边的错误,余华 ,余华 , 时代文艺出版社 , 2018-1-1
如雪如山,张天翼 , 人民文学出版社 , 2022-4-1 , 58
无人逝去,[日] 白井智之 , 四川文艺出版社 , 2023-7 , 45.00元
他人,[韩] 姜禾吉 , 台海出版社 , 2023-4 , 48.00元
第七天,余华 , 新星出版社 , 2023-1 , 49
人性的枷锁,[英] 威廉·萨默塞特·毛姆 , 江西人民出版社 , 2016-5 , 68.00元
白夜,陀思妥耶夫斯基 (Ф.М.Достоевский) , 上海译文出版社 , 2015-1 , 48.00元
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 , 南海出版公司 , 2009-3-1 , 25.00元
马利纳,[奥]英格博格·巴赫曼 , 广西师范大学出版社 , 2024-1 , 65.00元
白鹿原,陈忠实 , 人民文学出版社 , 1997-12 , 28.00元
寂寞的游戏,袁哲生 , 北京联合出版公司 , 2017-9 , 38.00元
破烂回收店,[日] 小林泰三 , 湖南文艺出版社 , 2023-10 , 49.00元
恶行,[德]费迪南德·冯·席拉赫 , 南海出版公司 , 2024-1 , 59.00元
密室黄金时代的杀人事件,[日] 鸭崎暖炉 , 北京日报出版社 , 2023-4 , 49.80
